name,category,geographic_applicability,description,co_benefits,cost_estimate,implementation_complexity,source_url,tags
Mangrove restoration,Nature-based,Coastal regions,"Restoring mangrove forests to stabilize shorelines, sequester carbon and provide nursery habitat for fisheries.",Coastal protection; biodiversity; fisheries enhancement,Low to Medium,Medium,https://www.ipcc.ch/,"mangrove,coastal,ecosystem-based"
Rainwater harvesting for households,Water management,Rural and peri-urban,"Rooftop or surface collection systems to capture rainwater for domestic and irrigation use, reducing flood-runoff and boosting water security.",Household water security; reduced pressure on groundwater,Low,Short-term,https://www.fao.org/,"water,harvesting,household"
Climate-smart agriculture: agroforestry,Agriculture,Smallholder farms,"Integrating trees with crops and livestock to improve soil, increase resilience to drought, and diversify income.",Soil health; carbon sequestration; crop diversification,Low to Medium,Medium,https://www.worldbank.org/,"agroforestry,agriculture"
Permeable pavement,Urban infrastructure,Urban areas,Replace impermeable surfaces with permeable materials to reduce urban runoff and reduce heat island effects.,Reduced flooding; groundwater recharge; cooler surfaces,Medium,Short-term,https://www.cities.org/,"urban,drainage,infrastructure"
Constructed wetlands for wastewater treatment,Water management,Small towns and peri-urban,"Engineered wetlands that treat wastewater naturally, reducing pollution and providing habitat.",Water purification; biodiversity; low energy,Medium,Medium,https://www.unep.org/,"wetlands,water,treatment"
Coastal dune restoration,Coastal protection,Coastal communities,Rebuilding dunes with native plants and natural structures to buffer waves and storm surge.,Habitat creation; coastal buffering,Low,Short-term,https://www.iucn.org/,"dunes,coastal,habitat"
Early warning systems for floods,Risk reduction,National/Regional,"Sensor networks and communication systems that warn populations ahead of floods, enabling evacuation and preparation.",Lives saved; economic loss reduction,Medium,Short-term,https://www.unisdr.org/,"early-warning,floods,monitoring"
Elevated housing and infrastructure,Engineering,Delta and flood-prone zones,Design and construct buildings on stilts or raised platforms to avoid flood damage.,Reduced asset loss; longer service life,High,Medium,https://www.adaptationsite.org/,"housing,infrastructure,flood-proofing"
Green roofs and urban greening,Urban planning,Cities,"Planting vegetated roofs and urban trees to reduce heat, increase evapotranspiration, and manage stormwater.",Cooling; air quality; biodiversity,Medium,Short-term,https://www.architecture.org/,"green-roof,urban,greenery"
Drought-tolerant crop varieties,Agriculture,Arid and semi-arid regions,Developing and deploying crop varieties that tolerate low water conditions to sustain production during dry periods.,Food security; yield stability,Low to Medium,Medium,https://www.cgiar.org/,"drought-tolerant,crops,agriculture"
Managed aquifer recharge,Water resources,Regional,Artificial recharge of groundwater using infiltration basins or injection to store excess surface water for dry periods.,Groundwater sustainability; reduced salinity intrusion,Medium to High,Long-term,https://www.worldbank.org/,"groundwater,storage,recharge"
Floodplain restoration,Ecological restoration,Flood-prone areas,"Reconnecting rivers to their floodplains to store floodwaters naturally, reduce downstream flooding, and restore habitat.",Flood mitigation; habitat; water quality,Medium,Long-term,https://www.riverfoundation.org/,"floodplain,restoration,river"
Microinsurance for smallholders,Finance,Smallholder farmers,Weather-indexed insurance products to protect farmers from crop failure and incentivize risk-reducing measures.,Financial resilience; investment stability,Low to Medium,Short-term,https://www.microinsure.org/,"insurance,finance,agriculture"
Salt-tolerant crop systems,Agriculture,Coastal agriculture,Switching to or breeding salt-tolerant varieties or altering management to maintain production in salt-affected soils.,Sustained yields; livelihoods protection,Low to Medium,Medium,https://www.fao.org/,"salt-tolerant,coastal,agriculture"
Urban flood retention parks,Urban planning,Cities prone to pluvial flooding,Design public parks that double as flood retention basins during heavy rainfall events.,Recreation; flood storage; urban cooling,Medium,Short-term,https://www.urbanparks.org/,"urban,parks,flood"
Water-efficient irrigation (drip),Agriculture,Irrigated agriculture,Drip and micro-irrigation systems that reduce water use and increase water productivity.,Water efficiency; increased yields,Medium,Short to Medium,https://www.irrigation.org/,"drip,irrigation,efficiency"
Solar-powered water pumping,Energy & water,Rural off-grid communities,Solar pumps for irrigation and water supply that reduce dependence on diesel and improve reliability.,Renewable energy; lower operating costs,Medium,Short to Medium,https://www.irena.org/,"solar,water,pumping"
Community-based mangrove aquaculture,Coastal livelihoods,Coastal communities,Integrated aquaculture that restores mangroves while providing livelihoods and food security.,Livelihoods; biodiversity; coastal protection,Low to Medium,Medium,https://www.ifpri.org/,"aquaculture,mangrove,livelihoods"
Road drainage upgrades,Infrastructure,Transport corridors,"Improve roadside drainage to prevent washouts, maintain connectivity during extreme rainfall.",Transport resilience; reduced isolation,Medium,Short-term,https://www.transport.org/,"roads,drainage,infrastructure"
Riparian buffer strips,Agriculture & water,River corridors,"Vegetated buffers along streams to reduce erosion, filter runoff and improve bank stability.",Water quality; habitat; erosion control,Low,Short-term,https://www.epa.gov/,"riparian,buffer,agriculture"
Executive Summary,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Introduction,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Scope of the chapter,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Perspectives of land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Definition of land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Land degradation in previous IPCC reports,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Sustainable land management (SLM) and sustainable forest management (SFM),Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
The human dimension of land degradation and forest degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Land degradation in the context of climate change,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Processes of land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Drivers of land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
Attribution in the case of land degradation,Adaptation,Global,,,,Medium,https://www.ipcc.ch/srccl/chapter/chapter-4/,
